xflr5 v6.47

 Calculated polar for: NACA 4215

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.2132, 0.04792, 0.04264,-0.0685,0.9181,0.1545,-1.7665, 0.0000,-0.0849
 -4.000,-0.0536, 0.03389, 0.02712,-0.0777,0.8822,0.1389,-1.6154, 0.0000,-1.2422
 -3.500, 0.0246, 0.02766, 0.01936,-0.0777,0.8663,0.1004,-1.6779, 0.0000, 3.4943
 -3.000, 0.0854, 0.02478, 0.01623,-0.0773,0.8434,0.1059,-1.5166, 0.0000, 1.1751
 -2.500, 0.1465, 0.02243, 0.01359,-0.0766,0.8187,0.1136,-1.3590, 0.0000, 0.7817
 -2.000, 0.2056, 0.02067, 0.01158,-0.0755,0.7910,0.1259,-1.1891, 0.0000, 0.6216
 -1.500, 0.2620, 0.01902, 0.00995,-0.0743,0.7604,0.1419,-1.0293, 0.0000, 0.5352
 -1.000, 0.3123, 0.01774, 0.00872,-0.0721,0.7246,0.1636,-0.9945, 0.0000, 0.4808
 -0.500, 0.3594, 0.01643, 0.00747,-0.0696,0.6865,0.2046,-1.0521, 0.0000, 0.4422
  0.000, 0.4264, 0.01445, 0.00781,-0.0674,0.6387,0.9523,-1.1287, 0.0000, 0.4056
  0.500, 0.5509, 0.01486, 0.00738,-0.0803,0.5669,1.0000,-1.2449, 0.0000, 0.3923
  1.000, 0.5861, 0.01532, 0.00725,-0.0767,0.5147,1.0000,-1.2944, 0.0000, 0.3766
  1.500, 0.6227, 0.01596, 0.00736,-0.0733,0.4719,1.0000,-1.3462, 0.0000, 0.3628
  2.000, 0.6622, 0.01669, 0.00764,-0.0705,0.4410,1.0000,-1.3998, 0.0000, 0.3508
  2.500, 0.7048, 0.01745, 0.00808,-0.0682,0.4192,1.0000,-1.4553, 0.0000, 0.3405
  3.000, 0.7503, 0.01826, 0.00858,-0.0664,0.4034,1.0000,-1.5174, 0.0000, 0.3316
  3.500, 0.7966, 0.01910, 0.00922,-0.0649,0.3905,1.0000,-1.5802, 0.0000, 0.3239
  4.000, 0.8439, 0.02002, 0.01001,-0.0635,0.3803,1.0000,-1.6440, 0.0000, 0.3172
  4.500, 0.8936, 0.02103, 0.01086,-0.0627,0.3721,1.0000,-1.7139, 0.0000, 0.3114
  5.000, 0.9422, 0.02202, 0.01179,-0.0617,0.3640,1.0000,-1.7828, 0.0000, 0.3061
  5.500, 0.9912, 0.02320, 0.01298,-0.0608,0.3577,1.0000,-1.8535, 0.0000, 0.3015
  6.000, 1.0399, 0.02437, 0.01416,-0.0600,0.3513,1.0000,-1.9264, 0.0000, 0.2972
  6.500, 1.0887, 0.02574, 0.01557,-0.0593,0.3458,1.0000,-2.0004, 0.0000, 0.2933
  7.000, 1.1337, 0.02721, 0.01721,-0.0581,0.3405,1.0000,-2.0713, 0.0000, 0.2894
  7.500, 1.1859, 0.02867, 0.01861,-0.0581,0.3356,1.0000,-2.1558, 0.0000, 0.2865
  8.000, 1.2221, 0.03062, 0.02093,-0.0558,0.3307,1.0000,-2.2179, 0.0000, 0.2824
  8.500, 1.2656, 0.03239, 0.02287,-0.0546,0.3258,1.0000,-2.2945, 0.0000, 0.2792
  9.000, 1.3103, 0.03444, 0.02504,-0.0538,0.3215,1.0000,-2.3759, 0.0000, 0.2764
  9.500, 1.3318, 0.03729, 0.02838,-0.0500,0.3166,1.0000,-2.4245, 0.0000, 0.2722
 10.000, 1.3738, 0.03937, 0.03058,-0.0490,0.3120,1.0000,-2.5094, 0.0000, 0.2695
 10.500, 1.3925, 0.04283, 0.03440,-0.0453,0.3077,1.0000,-2.5608, 0.0000, 0.2657
 11.000, 1.3773, 0.04775, 0.03985,-0.0383,0.3027,1.0000,-2.5634, 0.0000, 0.2601
 11.500, 1.4316, 0.04942, 0.04154,-0.0389,0.2983,1.0000,-2.6841, 0.0000, 0.2586
 13.500, 0.7870, 0.15767, 0.15103,-0.0561,0.2908,1.0000,-1.2684, 0.0000, 0.3013
 14.500, 0.8363, 0.16822, 0.16173,-0.0577,0.2740,1.0000,-1.3793, 0.0000, 0.2972
 15.000, 0.5730, 0.15167, 0.14583,-0.0318,0.2539,1.0000,-0.8941, 0.0000, 0.2882


