xflr5 v6.47

 Calculated polar for: NACA 4212

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.2899, 0.05845, 0.05421,-0.0454,0.9750,0.0905,-1.8131, 0.0000, 0.0879
 -4.500,-0.2117, 0.05007, 0.04536,-0.0563,0.9572,0.1039,-1.7348, 0.0000,-0.0232
 -4.000,-0.1218, 0.04254, 0.03725,-0.0666,0.9370,0.1279,-1.5928, 0.0000,-0.3077
 -3.500,-0.0413, 0.03628, 0.03059,-0.0734,0.9181,0.1594,-1.4023, 0.0000,-1.5535
 -2.500, 0.1241, 0.02582, 0.01810,-0.0781,0.8828,0.0982,-1.3955, 0.0000, 0.8856
 -2.000, 0.1924, 0.02237, 0.01407,-0.0780,0.8596,0.0967,-1.2747, 0.0000, 0.6586
 -1.500, 0.2548, 0.02001, 0.01138,-0.0773,0.8318,0.1057,-1.1233, 0.0000, 0.5544
 -1.000, 0.3130, 0.01815, 0.00938,-0.0759,0.7987,0.1200,-0.9444, 0.0000, 0.4923
 -0.500, 0.3660, 0.01668, 0.00790,-0.0738,0.7578,0.1416,-0.9416, 0.0000, 0.4505
  0.000, 0.4143, 0.01547, 0.00666,-0.0712,0.7079,0.1777,-0.9996, 0.0000, 0.4199
  0.500, 0.4976, 0.01284, 0.00593,-0.0743,0.6407,1.0000,-1.0836, 0.0000, 0.3967
  1.000, 0.5402, 0.01336, 0.00569,-0.0710,0.5670,1.0000,-1.1390, 0.0000, 0.3782
  1.500, 0.5826, 0.01417, 0.00576,-0.0681,0.4998,1.0000,-1.1934, 0.0000, 0.3630
  2.000, 0.6280, 0.01506, 0.00606,-0.0660,0.4546,1.0000,-1.2487, 0.0000, 0.3508
  2.500, 0.6767, 0.01595, 0.00652,-0.0647,0.4269,1.0000,-1.3097, 0.0000, 0.3408
  3.000, 0.7270, 0.01680, 0.00709,-0.0638,0.4071,1.0000,-1.3726, 0.0000, 0.3323
  3.500, 0.7786, 0.01770, 0.00777,-0.0632,0.3928,1.0000,-1.4385, 0.0000, 0.3252
  4.000, 0.8308, 0.01865, 0.00857,-0.0627,0.3818,1.0000,-1.5072, 0.0000, 0.3190
  4.500, 0.8836, 0.01966, 0.00944,-0.0624,0.3724,1.0000,-1.5781, 0.0000, 0.3136
  5.000, 0.9356, 0.02070, 0.01046,-0.0620,0.3643,1.0000,-1.6510, 0.0000, 0.3087
  5.500, 0.9872, 0.02187, 0.01168,-0.0617,0.3571,1.0000,-1.7236, 0.0000, 0.3043
  6.000, 1.0391, 0.02306, 0.01289,-0.0614,0.3505,1.0000,-1.8015, 0.0000, 0.3004
  6.500, 1.0890, 0.02447, 0.01446,-0.0609,0.3445,1.0000,-1.8767, 0.0000, 0.2966
  7.000, 1.1386, 0.02587, 0.01600,-0.0604,0.3384,1.0000,-1.9561, 0.0000, 0.2931
  7.500, 1.1873, 0.02755, 0.01786,-0.0599,0.3333,1.0000,-2.0373, 0.0000, 0.2898
  8.000, 1.2316, 0.02934, 0.01998,-0.0587,0.3274,1.0000,-2.1147, 0.0000, 0.2865
  8.500, 1.2830, 0.03114, 0.02180,-0.0587,0.3224,1.0000,-2.2103, 0.0000, 0.2838
  9.000, 1.3155, 0.03364, 0.02492,-0.0562,0.3165,1.0000,-2.2804, 0.0000, 0.2801
  9.500, 1.3628, 0.03556, 0.02698,-0.0557,0.3111,1.0000,-2.5318, 0.0000, 0.2775
 10.000, 1.3868, 0.03890, 0.03090,-0.0526,0.3051,1.0000,-2.7310, 0.0000, 0.2739
 10.500, 1.4283, 0.04113, 0.03335,-0.0515,0.2992,1.0000,-3.0124, 0.0000, 0.2712
 11.000, 1.4350, 0.04556, 0.03837,-0.0470,0.2926,1.0000,-3.1814, 0.0000, 0.2671
 11.500, 1.4899, 0.04681, 0.03969,-0.0472,0.2857,1.0000,-3.5600, 0.0000, 0.2652
 12.000, 1.4356, 0.05444, 0.04808,-0.0376,0.2782,1.0000,-3.5121, 0.0000, 0.2590
 12.500, 1.5585, 0.04750, 0.04072,-0.0421,0.2601,1.0000,-4.2443, 0.0000, 0.2585
 13.000, 1.5863, 0.04775, 0.04118,-0.0387,0.2480,1.0000,-4.5927, 0.0000, 0.2549
 13.500, 1.3706, 0.06976, 0.06410,-0.0247,0.2511,1.0000,-3.7763, 0.0000, 0.2479
 14.000, 1.6221, 0.04792, 0.04176,-0.0295,0.2252,1.0000,-5.2310, 0.0000, 0.2465
 14.500, 1.3942, 0.07401, 0.06870,-0.0219,0.2285,1.0000,-4.2881, 0.0000, 0.2432
 15.000, 1.4047, 0.07640, 0.07129,-0.0213,0.2173,1.0000,-4.5446, 0.0000, 0.2414


