xflr5 v6.47

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.6153, 0.01561, 0.00759, 0.0081,1.0000,0.3407,-2.0017, 0.0000, 0.2573
 -4.500,-0.5767, 0.01476, 0.00708, 0.0113,1.0000,0.4191,-1.7932, 0.0000, 0.2640
 -4.000,-0.5364, 0.01411, 0.00673, 0.0143,1.0000,0.4951,-1.5938, 0.0000, 0.2715
 -3.500,-0.4949, 0.01364, 0.00653, 0.0172,1.0000,0.5688,-1.4054, 0.0000, 0.2800
 -3.000,-0.4526, 0.01331, 0.00648, 0.0201,1.0000,0.6401,-1.2342, 0.0000, 0.2900
 -2.500,-0.4099, 0.01315, 0.00661, 0.0231,1.0000,0.7101,-1.0783, 0.0000, 0.3024
 -2.000,-0.3687, 0.01321, 0.00689, 0.0266,1.0000,0.7784,-0.9419, 0.0000, 0.3184
 -1.500,-0.3300, 0.01352, 0.00739, 0.0307,1.0000,0.8450,-0.8245, 0.0000, 0.3396
 -1.000,-0.2757, 0.01421, 0.00813, 0.0316,0.9976,0.9090,-0.7058, 0.0000, 0.3618
 -0.500,-0.1483, 0.01512, 0.00896, 0.0181,0.9824,0.9487,-0.5451, 0.0000, 0.3693
  0.000,-0.0000, 0.01550, 0.00929, 0.0000,0.9682,0.9682,-0.4096, 0.0000, 0.5724
  0.500, 0.1483, 0.01512, 0.00896,-0.0181,0.9487,0.9824,-0.5451, 0.0000, 0.3693
  1.000, 0.2757, 0.01421, 0.00813,-0.0316,0.9090,0.9976,-0.7058, 0.0000, 0.3618
  1.500, 0.3300, 0.01352, 0.00739,-0.0306,0.8450,1.0000,-0.8245, 0.0000, 0.3396
  2.000, 0.3686, 0.01321, 0.00689,-0.0266,0.7784,1.0000,-0.9418, 0.0000, 0.3184
  2.500, 0.4098, 0.01315, 0.00661,-0.0231,0.7101,1.0000,-1.0782, 0.0000, 0.3024
  3.000, 0.4525, 0.01330, 0.00648,-0.0201,0.6402,1.0000,-1.2341, 0.0000, 0.2900
  3.500, 0.4948, 0.01364, 0.00653,-0.0172,0.5688,1.0000,-1.4053, 0.0000, 0.2800
  4.000, 0.5364, 0.01411, 0.00673,-0.0143,0.4952,1.0000,-1.5937, 0.0000, 0.2715
  4.500, 0.5766, 0.01475, 0.00708,-0.0113,0.4192,1.0000,-1.7930, 0.0000, 0.2640
  5.000, 0.6152, 0.01561, 0.00759,-0.0081,0.3407,1.0000,-2.0015, 0.0000, 0.2572
  5.500, 0.6520, 0.01677, 0.00837,-0.0049,0.2645,1.0000,-2.2169, 0.0000, 0.2510
  6.000, 0.6879, 0.01827, 0.00946,-0.0015,0.2027,1.0000,-2.4373, 0.0000, 0.2454
  6.500, 0.7248, 0.01994, 0.01087, 0.0016,0.1602,1.0000,-2.6563, 0.0000, 0.2404
  7.000, 0.7633, 0.02176, 0.01251, 0.0045,0.1324,1.0000,-2.9000, 0.0000, 0.2363
  7.500, 0.8040, 0.02375, 0.01446, 0.0071,0.1128,1.0000,-3.1483, 0.0000, 0.2329
  8.000, 0.8463, 0.02602, 0.01669, 0.0092,0.0987,1.0000,-3.3998, 0.0000, 0.2304
  8.500, 0.8890, 0.02860, 0.01943, 0.0113,0.0882,1.0000,-3.6660, 0.0000, 0.2281
  9.000, 0.9301, 0.03151, 0.02254, 0.0134,0.0800,1.0000,-3.9324, 0.0000, 0.2259
  9.500, 0.9653, 0.03523, 0.02676, 0.0161,0.0740,1.0000,-4.1491, 0.0000, 0.2232
 10.000, 0.9944, 0.03940, 0.03139, 0.0190,0.0692,1.0000,-4.3443, 0.0000, 0.2202
 10.500, 1.0102, 0.04486, 0.03758, 0.0230,0.0665,1.0000,-4.4616, 0.0000, 0.2161
 11.000, 1.0265, 0.05032, 0.04338, 0.0259,0.0639,1.0000,-4.6336, 0.0000, 0.2130
 11.500, 0.9924, 0.05808, 0.05201, 0.0317,0.0633,1.0000,-4.5191, 0.0000, 0.2057
 12.000, 0.9429, 0.06634, 0.06076, 0.0350,0.0636,1.0000,-4.3625, 0.0000, 0.1998
 12.500, 0.8956, 0.07755, 0.07227, 0.0311,0.0642,1.0000,-4.1757, 0.0000, 0.2012
 13.500, 0.4661, 0.13835, 0.13357,-0.0008,0.1233,1.0000,-1.3262, 0.0000, 0.2416
 14.000, 0.4949, 0.14500, 0.14026,-0.0000,0.1173,1.0000,-1.4402, 0.0000, 0.2394
 14.500, 0.4713, 0.14809, 0.14334,-0.0035,0.1103,1.0000,-1.3068, 0.0000, 0.2467
 15.000, 0.4682, 0.15289, 0.14815,-0.0059,0.1036,1.0000,-1.2585, 0.0000, 0.2518


