xflr5 v6.47

 Calculated polar for: NACA 0018

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.7540, 0.02039, 0.01226, 0.0291,0.9936,0.4131,-1.8221, 0.0000, 0.2786
 -4.500,-0.6671, 0.02023, 0.01227, 0.0222,0.9773,0.4540,-1.6314, 0.0000, 0.2736
 -4.000,-0.5834, 0.02001, 0.01223, 0.0164,0.9593,0.4941,-1.4607, 0.0000, 0.2685
 -3.500,-0.5017, 0.01972, 0.01212, 0.0112,0.9406,0.5338,-1.3066, 0.0000, 0.2631
 -3.000,-0.4149, 0.01936, 0.01192, 0.0056,0.9242,0.5744,-1.1623, 0.0000, 0.2542
 -2.500,-0.3351, 0.01895, 0.01166, 0.0016,0.9048,0.6137,-1.0385, 0.0000, 0.2457
 -2.000,-0.2587, 0.01849, 0.01140,-0.0010,0.8850,0.6504,-0.9295, 0.0000, 0.2368
 -1.500,-0.1836, 0.01792, 0.01093,-0.0031,0.8662,0.6881,-0.8324, 0.0000, 0.2239
 -1.000,-0.1190, 0.01756, 0.01071,-0.0028,0.8417,0.7212,-0.7515, 0.0000, 0.2171
 -0.500,-0.0578, 0.01729, 0.01051,-0.0017,0.8152,0.7542,-0.6799, 0.0000, 0.2108
  0.000, 0.0000, 0.01713, 0.01035,-0.0000,0.7869,0.7869,-0.6162, 0.0000, 0.5092
  0.500, 0.0578, 0.01729, 0.01051, 0.0017,0.7542,0.8152,-0.6799, 0.0000, 0.2108
  1.000, 0.1190, 0.01756, 0.01071, 0.0028,0.7212,0.8417,-0.7515, 0.0000, 0.2171
  1.500, 0.1836, 0.01792, 0.01093, 0.0031,0.6881,0.8662,-0.8324, 0.0000, 0.2239
  2.000, 0.2587, 0.01849, 0.01140, 0.0010,0.6504,0.8850,-0.9294, 0.0000, 0.2367
  2.500, 0.3351, 0.01895, 0.01166,-0.0016,0.6137,0.9048,-1.0385, 0.0000, 0.2457
  3.000, 0.4137, 0.01936, 0.01192,-0.0054,0.5746,0.9246,-1.1612, 0.0000, 0.2538
  3.500, 0.5017, 0.01972, 0.01212,-0.0112,0.5338,0.9407,-1.3066, 0.0000, 0.2631
  4.000, 0.5834, 0.02001, 0.01223,-0.0164,0.4940,0.9594,-1.4606, 0.0000, 0.2685
  4.500, 0.6671, 0.02023, 0.01227,-0.0222,0.4540,0.9774,-1.6314, 0.0000, 0.2736
  5.000, 0.7540, 0.02038, 0.01225,-0.0291,0.4131,0.9937,-1.8221, 0.0000, 0.2786
  5.500, 0.8126, 0.02059, 0.01234,-0.0309,0.3778,1.0000,-1.9856, 0.0000, 0.2776
  6.000, 0.8450, 0.02101, 0.01262,-0.0277,0.3497,1.0000,-2.1162, 0.0000, 0.2717
  6.500, 0.8760, 0.02155, 0.01302,-0.0240,0.3228,1.0000,-2.2527, 0.0000, 0.2658
  7.000, 0.9051, 0.02222, 0.01357,-0.0199,0.2974,1.0000,-2.3896, 0.0000, 0.2598
  7.500, 0.9315, 0.02300, 0.01428,-0.0153,0.2736,1.0000,-2.5296, 0.0000, 0.2535
  8.000, 0.9554, 0.02390, 0.01514,-0.0101,0.2516,1.0000,-2.6662, 0.0000, 0.2471
  8.500, 0.9778, 0.02492, 0.01613,-0.0047,0.2318,1.0000,-2.8071, 0.0000, 0.2406
  9.000, 1.0018, 0.02607, 0.01711, 0.0005,0.2145,1.0000,-2.9566, 0.0000, 0.2347
  9.500, 1.0212, 0.02729, 0.01838, 0.0063,0.1982,1.0000,-3.0950, 0.0000, 0.2283
 10.000, 1.0465, 0.02865, 0.01958, 0.0111,0.1841,1.0000,-3.2555, 0.0000, 0.2232
 10.500, 1.0668, 0.03018, 0.02115, 0.0165,0.1712,1.0000,-3.4062, 0.0000, 0.2176
 11.000, 1.0870, 0.03183, 0.02286, 0.0217,0.1597,1.0000,-3.5568, 0.0000, 0.2124
 11.500, 1.1088, 0.03367, 0.02474, 0.0263,0.1495,1.0000,-3.7109, 0.0000, 0.2078
 12.000, 1.1288, 0.03566, 0.02679, 0.0309,0.1406,1.0000,-3.8707, 0.0000, 0.2034
 12.500, 1.1504, 0.03788, 0.02905, 0.0348,0.1327,1.0000,-4.0358, 0.0000, 0.1997
 13.000, 1.1764, 0.04022, 0.03138, 0.0377,0.1254,1.0000,-4.2145, 0.0000, 0.1971
 13.500, 1.1783, 0.04315, 0.03463, 0.0428,0.1195,1.0000,-4.3199, 0.0000, 0.1919
 14.000, 1.1831, 0.04678, 0.03852, 0.0464,0.1145,1.0000,-4.4264, 0.0000, 0.1880
 14.500, 1.2154, 0.04951, 0.04116, 0.0476,0.1089,1.0000,-4.6403, 0.0000, 0.1873
 15.000, 1.1706, 0.05593, 0.04825, 0.0518,0.1063,1.0000,-4.5853, 0.0000, 0.1809


