xflr5 v6.47

 Calculated polar for: NACA 4218

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.1614, 0.03393, 0.02605,-0.0747,0.8691,0.1048,-2.0726, 0.0000,-0.2418
 -4.500,-0.0888, 0.02985, 0.02118,-0.0758,0.8509,0.1085,-1.9289, 0.0000,-0.6495
 -4.000,-0.0219, 0.02694, 0.01802,-0.0762,0.8295,0.1163,-1.7538, 0.0000,-3.3856
 -3.500, 0.0381, 0.02470, 0.01561,-0.0757,0.8069,0.1237,-1.5873, 0.0000, 2.3128
 -3.000, 0.0994, 0.02289, 0.01358,-0.0752,0.7840,0.1348,-1.4198, 0.0000, 1.0310
 -2.500, 0.1583, 0.02113, 0.01187,-0.0746,0.7586,0.1483,-1.2602, 0.0000, 0.7330
 -2.000, 0.2107, 0.01975, 0.01055,-0.0729,0.7298,0.1655,-1.1118, 0.0000, 0.6021
 -1.500, 0.2558, 0.01850, 0.00941,-0.0702,0.6994,0.1907,-1.0461, 0.0000, 0.5269
 -1.000, 0.2872, 0.01619, 0.00865,-0.0655,0.6689,0.5253,-1.0932, 0.0000, 0.4783
 -0.500, 0.3255, 0.01583, 0.00912,-0.0582,0.6356,0.8152,-1.1472, 0.0000, 0.4273
  0.000, 0.3857, 0.01645, 0.00946,-0.0558,0.5965,0.9021,-1.2185, 0.0000, 0.3914
  0.500, 0.4843, 0.01736, 0.00982,-0.0620,0.5457,0.9477,-1.3192, 0.0000, 0.3734
  1.000, 0.6081, 0.01822, 0.01000,-0.0748,0.4896,0.9820,-1.4372, 0.0000, 0.3676
  1.500, 0.7018, 0.01870, 0.00993,-0.0834,0.4496,1.0000,-1.5335, 0.0000, 0.3627
  2.000, 0.7343, 0.01910, 0.00995,-0.0804,0.4287,1.0000,-1.5841, 0.0000, 0.3525
  2.500, 0.7671, 0.01963, 0.01025,-0.0771,0.4117,1.0000,-1.6335, 0.0000, 0.3427
  3.000, 0.8033, 0.02027, 0.01067,-0.0742,0.3990,1.0000,-1.6869, 0.0000, 0.3338
  3.500, 0.8427, 0.02100, 0.01113,-0.0717,0.3883,1.0000,-1.7472, 0.0000, 0.3258
  4.000, 0.8791, 0.02178, 0.01186,-0.0686,0.3785,1.0000,-1.8029, 0.0000, 0.3181
  4.500, 0.9207, 0.02272, 0.01268,-0.0665,0.3712,1.0000,-1.8634, 0.0000, 0.3115
  5.000, 0.9623, 0.02367, 0.01356,-0.0643,0.3643,1.0000,-1.9280, 0.0000, 0.3055
  5.500, 1.0043, 0.02479, 0.01463,-0.0623,0.3580,1.0000,-1.9928, 0.0000, 0.3000
  6.000, 1.0452, 0.02593, 0.01579,-0.0601,0.3523,1.0000,-2.0559, 0.0000, 0.2948
  6.500, 1.0942, 0.02725, 0.01699,-0.0594,0.3477,1.0000,-2.1324, 0.0000, 0.2909
  7.000, 1.1271, 0.02872, 0.01869,-0.0561,0.3423,1.0000,-2.1884, 0.0000, 0.2857
  7.500, 1.1718, 0.03014, 0.02013,-0.0549,0.3377,1.0000,-2.2606, 0.0000, 0.2820
  8.000, 1.2133, 0.03195, 0.02201,-0.0533,0.3338,1.0000,-2.3309, 0.0000, 0.2784
  8.500, 1.2393, 0.03403, 0.02441,-0.0496,0.3290,1.0000,-2.3804, 0.0000, 0.2737
  9.000, 1.2798, 0.03588, 0.02634,-0.0481,0.3251,1.0000,-2.4532, 0.0000, 0.2706
  9.500, 1.3172, 0.03821, 0.02878,-0.0465,0.3215,1.0000,-2.5220, 0.0000, 0.2675
 10.000, 1.3092, 0.04184, 0.03291,-0.0390,0.3172,1.0000,-2.5290, 0.0000, 0.2611
 10.500, 1.3186, 0.04517, 0.03648,-0.0343,0.3135,1.0000,-2.5624, 0.0000, 0.2565
 11.000, 1.3836, 0.04678, 0.03799,-0.0366,0.3099,1.0000,-2.6774, 0.0000, 0.2561
 15.000, 0.7497, 0.17654, 0.16969,-0.0487,0.2746,1.0000,-1.2811, 0.0000, 0.2885


