xflr5 v6.47

 Calculated polar for: NACA 0015

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.6877, 0.01735, 0.00935, 0.0205,1.0000,0.3933,-1.8496, 0.0000, 0.2719
 -4.500,-0.6500, 0.01692, 0.00909, 0.0233,1.0000,0.4392,-1.6947, 0.0000, 0.2785
 -4.000,-0.6111, 0.01661, 0.00896, 0.0259,1.0000,0.4860,-1.5474, 0.0000, 0.2854
 -3.500,-0.5717, 0.01644, 0.00901, 0.0282,1.0000,0.5322,-1.4091, 0.0000, 0.2929
 -3.000,-0.5100, 0.01647, 0.00924, 0.0262,0.9936,0.5862,-1.2521, 0.0000, 0.2953
 -2.500,-0.4194, 0.01655, 0.00956, 0.0192,0.9751,0.6448,-1.0752, 0.0000, 0.2898
 -2.000,-0.3308, 0.01654, 0.00978, 0.0131,0.9555,0.6995,-0.9234, 0.0000, 0.2840
 -1.500,-0.2437, 0.01649, 0.00994, 0.0081,0.9353,0.7496,-0.7937, 0.0000, 0.2776
 -1.000,-0.1576, 0.01643, 0.01002, 0.0039,0.9146,0.7946,-0.6829, 0.0000, 0.2691
 -0.500,-0.0766, 0.01637, 0.01004, 0.0014,0.8918,0.8326,-0.5904, 0.0000, 0.2621
  0.000,-0.0000, 0.01628, 0.00998, 0.0000,0.8660,0.8661,-0.5119, 0.0000, 0.4344
  0.500, 0.0766, 0.01637, 0.01004,-0.0014,0.8326,0.8918,-0.5904, 0.0000, 0.2621
  1.000, 0.1576, 0.01643, 0.01002,-0.0039,0.7946,0.9146,-0.6829, 0.0000, 0.2691
  1.500, 0.2437, 0.01649, 0.00994,-0.0081,0.7496,0.9354,-0.7937, 0.0000, 0.2776
  2.000, 0.3308, 0.01654, 0.00978,-0.0131,0.6995,0.9555,-0.9234, 0.0000, 0.2840
  2.500, 0.4194, 0.01654, 0.00956,-0.0192,0.6448,0.9751,-1.0751, 0.0000, 0.2898
  3.000, 0.5101, 0.01647, 0.00924,-0.0262,0.5862,0.9936,-1.2521, 0.0000, 0.2953
  3.500, 0.5716, 0.01643, 0.00901,-0.0282,0.5322,1.0000,-1.4089, 0.0000, 0.2929
  4.000, 0.6109, 0.01661, 0.00896,-0.0259,0.4860,1.0000,-1.5472, 0.0000, 0.2854
  4.500, 0.6498, 0.01691, 0.00908,-0.0233,0.4393,1.0000,-1.6945, 0.0000, 0.2785
  5.000, 0.6876, 0.01735, 0.00935,-0.0205,0.3933,1.0000,-1.8494, 0.0000, 0.2719
  5.500, 0.7234, 0.01795, 0.00974,-0.0172,0.3497,1.0000,-2.0129, 0.0000, 0.2654
  6.000, 0.7573, 0.01871, 0.01032,-0.0135,0.3076,1.0000,-2.1773, 0.0000, 0.2590
  6.500, 0.7896, 0.01962, 0.01106,-0.0096,0.2683,1.0000,-2.3503, 0.0000, 0.2528
  7.000, 0.8206, 0.02071, 0.01197,-0.0054,0.2339,1.0000,-2.5245, 0.0000, 0.2467
  7.500, 0.8514, 0.02196, 0.01301,-0.0013,0.2049,1.0000,-2.7046, 0.0000, 0.2410
  8.000, 0.8822, 0.02334, 0.01433, 0.0029,0.1800,1.0000,-2.8920, 0.0000, 0.2357
  8.500, 0.9140, 0.02488, 0.01579, 0.0068,0.1598,1.0000,-3.0832, 0.0000, 0.2310
  9.000, 0.9481, 0.02660, 0.01735, 0.0101,0.1436,1.0000,-3.2868, 0.0000, 0.2271
  9.500, 0.9803, 0.02843, 0.01930, 0.0137,0.1295,1.0000,-3.4930, 0.0000, 0.2232
 10.000, 1.0171, 0.03050, 0.02129, 0.0164,0.1184,1.0000,-3.7166, 0.0000, 0.2205
 10.500, 1.0546, 0.03285, 0.02364, 0.0187,0.1088,1.0000,-3.9411, 0.0000, 0.2183
 11.000, 1.0893, 0.03543, 0.02635, 0.0212,0.1010,1.0000,-4.1651, 0.0000, 0.2158
 11.500, 1.1132, 0.03818, 0.02945, 0.0251,0.0943,1.0000,-4.3588, 0.0000, 0.2121
 12.000, 1.1293, 0.04184, 0.03358, 0.0293,0.0894,1.0000,-4.5122, 0.0000, 0.2080
 12.500, 1.1564, 0.04529, 0.03712, 0.0318,0.0848,1.0000,-4.7220, 0.0000, 0.2058
 13.000, 1.1333, 0.04980, 0.04229, 0.0392,0.0821,1.0000,-4.7333, 0.0000, 0.1978
 13.500, 1.1604, 0.05336, 0.04582, 0.0408,0.0783,1.0000,-4.9533, 0.0000, 0.1965
 14.000, 0.6864, 0.13182, 0.12637, 0.0047,0.1001,1.0000,-2.3849, 0.0000, 0.2231
 15.000, 0.9797, 0.08538, 0.07951, 0.0383,0.0779,1.0000,-4.4024, 0.0000, 0.1887


