xflr5 v6.47

 Calculated polar for: NACA 4512

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.3000, 0.02823, 0.01985,-0.0841,0.9731,0.0991,-2.5788, 0.0000,-0.0411
 -4.500,-0.2240, 0.02643, 0.01776,-0.0889,0.9641,0.1145,-2.2934, 0.0000,-0.1596
 -4.000,-0.1528, 0.02513, 0.01629,-0.0925,0.9533,0.1359,-2.0218, 0.0000,-0.3724
 -3.500,-0.0819, 0.02420, 0.01544,-0.0961,0.9421,0.1662,-1.7518, 0.0000,-0.9507
 -3.000,-0.0110, 0.02349, 0.01489,-0.0997,0.9305,0.2114,-1.4953, 0.0000,-8.9688
 -2.500, 0.0595, 0.02293, 0.01456,-0.1031,0.9186,0.2753,-1.2579, 0.0000, 2.0093
 -2.000, 0.1291, 0.02247, 0.01442,-0.1061,0.9064,0.3563,-1.0371, 0.0000, 1.0816
 -1.500, 0.1974, 0.02204, 0.01435,-0.1086,0.8940,0.4518,-0.8398, 0.0000, 0.8048
 -1.000, 0.2638, 0.02151, 0.01426,-0.1104,0.8815,0.5667,-0.6679, 0.0000, 0.6707
 -0.500, 0.3238, 0.02070, 0.01414,-0.1100,0.8691,0.7428,-0.5820, 0.0000, 0.5904
  0.000, 0.3940, 0.02008, 0.01369,-0.1116,0.8564,1.0000,-0.6286, 0.0000, 0.5327
  0.500, 0.4659, 0.01993, 0.01328,-0.1143,0.8436,1.0000,-0.6788, 0.0000, 0.4941
  1.000, 0.5345, 0.01969, 0.01286,-0.1162,0.8304,1.0000,-0.7308, 0.0000, 0.4653
  1.500, 0.6016, 0.01937, 0.01243,-0.1175,0.8168,1.0000,-0.7863, 0.0000, 0.4427
  2.000, 0.6681, 0.01898, 0.01197,-0.1185,0.8026,1.0000,-0.8465, 0.0000, 0.4242
  2.500, 0.7345, 0.01853, 0.01147,-0.1194,0.7879,1.0000,-0.9138, 0.0000, 0.4088
  3.000, 0.7909, 0.01845, 0.01139,-0.1187,0.7685,1.0000,-0.9840, 0.0000, 0.3958
  3.500, 0.8522, 0.01815, 0.01108,-0.1186,0.7494,1.0000,-1.0825, 0.0000, 0.3844
  4.000, 0.9167, 0.01773, 0.01066,-0.1189,0.7302,1.0000,-1.2281, 0.0000, 0.3744
  4.500, 0.9709, 0.01771, 0.01066,-0.1176,0.7049,1.0000,-1.3929, 0.0000, 0.3653
  5.000, 1.0254, 0.01766, 0.01065,-0.1163,0.6774,1.0000,-1.5848, 0.0000, 0.3570
  5.500, 1.0796, 0.01759, 0.01057,-0.1149,0.6464,1.0000,-1.8036, 0.0000, 0.3494
  6.000, 1.1274, 0.01770, 0.01068,-0.1124,0.6093,1.0000,-2.0317, 0.0000, 0.3420
  6.500, 1.1733, 0.01792, 0.01086,-0.1096,0.5684,1.0000,-2.2792, 0.0000, 0.3351
  7.000, 1.2132, 0.01838, 0.01130,-0.1059,0.5219,1.0000,-2.5234, 0.0000, 0.3283
  7.500, 1.2484, 0.01907, 0.01189,-0.1016,0.4699,1.0000,-2.7805, 0.0000, 0.3217
  8.000, 1.2747, 0.02009, 0.01280,-0.0961,0.4087,1.0000,-3.0173, 0.0000, 0.3150
  8.500, 1.2901, 0.02162, 0.01408,-0.0891,0.3369,1.0000,-3.2280, 0.0000, 0.3079
  9.000, 1.2899, 0.02397, 0.01599,-0.0803,0.2562,1.0000,-3.4002, 0.0000, 0.3004
  9.500, 1.2849, 0.02738, 0.01886,-0.0721,0.1855,1.0000,-3.5459, 0.0000, 0.2935
 10.000, 1.2852, 0.03111, 0.02219,-0.0655,0.1436,1.0000,-3.6994, 0.0000, 0.2876
 10.500, 1.2944, 0.03465, 0.02555,-0.0605,0.1180,1.0000,-3.8781, 0.0000, 0.2825
 11.000, 1.3124, 0.03800, 0.02875,-0.0565,0.1006,1.0000,-4.0882, 0.0000, 0.2781
 11.500, 1.3376, 0.04116, 0.03198,-0.0533,0.0876,1.0000,-4.3384, 0.0000, 0.2742
 12.000, 1.3723, 0.04429, 0.03502,-0.0512,0.0774,1.0000,-4.6311, 0.0000, 0.2708
 12.500, 1.4102, 0.04774, 0.03865,-0.0492,0.0698,1.0000,-4.9168, 0.0000, 0.2676
 13.000, 1.4426, 0.05154, 0.04263,-0.0472,0.0636,1.0000,-5.1905, 0.0000, 0.2647
 13.500, 1.4648, 0.05604, 0.04754,-0.0444,0.0595,1.0000,-5.4208, 0.0000, 0.2614
 14.000, 1.4741, 0.06171, 0.05369,-0.0412,0.0568,1.0000,-5.5983, 0.0000, 0.2582
 14.500, 1.4558, 0.06822, 0.06082,-0.0370,0.0549,1.0000,-5.6500, 0.0000, 0.2548
 15.000, 1.4767, 0.07353, 0.06618,-0.0356,0.0519,1.0000,-5.9240, 0.0000, 0.2526


